Country,differential with USA,Average Rank,Rank,Mcap_USD_Bn,Crude (kg),Crude (mb/d),Final_Score
Brazil,10.47833333,6.0,4.0,1100.0,,,3.4000000000000004
United Kingdom,1.518,16.0,3.0,3990.0,,,4.4
Hong Kong,-0.5163333333,12.0,15.0,7410.0,,,6.6000000000000005
Japan,-1.020666667,33.0,1.0,8260.0,114959000000.0,2.309062788735789,6.7
France,0.1903333333,23.0,5.0,3450.0,,,6.9
Poland,2.287666667,11.0,8.0,292.0,24977100000.0,0.5016892299039891,7.0
Singapore,-1.431,16.0,9.0,820.0,43505200000.0,0.8738440525448921,7.5
Malaysia,0.05433333333,12.0,11.0,508.0,22122700000.0,0.44435584300807457,7.7
Indonesia,3.297666667,4.0,20.0,940.0,,,8.2
India,3.498333333,41.0,2.0,4970.0,241750000000.0,4.8557827501707305,8.5
Chile,2.103333333,13.0,12.0,305.0,8895070000.0,0.178666090868919,8.7
South Korea,0.375,33.0,10.0,4590.0,137180000000.0,2.7553930823926405,9.8
United States,0.8863333333,42.0,7.0,73300.0,375657000000.0,7.545434459486603,9.8
Australia,1.467666667,20.0,17.0,1970.0,9201580000.0,0.1848226409030651,10.100000000000001
Philippines,3.542,8.0,22.0,345.0,6483420000.0,0.13022576627967702,10.3
Greece,0.3103333333,28.0,6.0,185.66,,,10.4
Spain,-0.008666666667,26.0,13.0,1360.0,,,10.400000000000002
Thailand,-1.298333333,10.0,24.0,568.0,177762000000.0,3.570521833447154,10.899999999999999
Mexico,5.693333333,20.0,16.0,611.0,,,10.9
Italy,0.3543333333,17.0,21.0,950.0,54544900000.0,1.095587112842968,11.3
Taiwan,-2.01,40.0,14.0,4670.0,45330100000.0,0.910498935443699,11.9
South Africa,5.301666667,28.0,19.0,1530.0,8181530000.0,0.16433394930301692,12.3
Turkey,29.87833333,9.0,27.0,285.0,,,12.4
China,-1.768666667,17.0,31.0,17100.0,553232000000.0,11.112200216928454,12.599999999999998
Colombia,9.749666667,7.0,30.0,144.08,736290000.0,0.014789097336600651,13.2
Norway,0.904,22.0,23.0,515.0,1138180000.0,0.022861446993130596,13.499999999999998
Germany,-0.4633333333,16.0,37.0,3036.0,78537000000.0,1.5774916643233037,14.799999999999999
Ireland,-0.2393333333,35.0,18.0,298.0,,,14.999999999999998
Denmark,-0.5796666667,31.0,25.0,650.0,4436890000.0,0.08911923030570844,15.400000000000002
Sweden,-0.681,29.0,29.0,1410.0,17740100000.0,0.3563270799019805,15.7
Netherlands,-0.406,37.0,26.0,2120.0,79217900000.0,1.591168199895553,15.8
Austria,-0.205,13.0,36.0,224.5,7668800000.0,0.15403527095970757,16.299999999999997
Belgium,0.0,23.0,34.0,870.0,,,16.7
Canada,0.05833333333,35.0,32.0,4500.0,23932400000.0,0.480705419194151,16.900000000000002
Finland,-0.1146666667,23.0,33.0,390.0,8623710000.0,0.1732155626079621,17.1
Switzerland,-3.126666667,32.0,35.0,1790.0,2586720000.0,0.05195677499698711,17.7
New Zealand,1.159666667,18.0,38.0,100.5,24000.0,4.820632306270839e-07,18.5
Peru,2.425,40.0,28.0,84.8,,,19.3
