Country,Region,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023,GDP_2024,GDP_2025,GDP_CAGR_1Y,GDP_CAGR_3Y,GDP_CAGR_5Y,GDP_CAGR_10Y,ETF_Ticker,P_Now,P_1Y,ETF_CAGR_1Y,P_3Y,ETF_CAGR_3Y,P_5Y,ETF_CAGR_5Y,P_10Y,ETF_CAGR_10Y,YTD_Return,Current_REER,Avg_REER_10Y,REER_Upside,Crude (kg),Crude (mb/d),Conversion_Factor,Mcap_USD_Bn,differential with USA,Average Rank,Rank,Oil_Scenario_USD,Oil_Annual_Impact_USD_Bn,Oil_GDP_Impact_Pct,Oil_Data_Excluded,Has_GDP_CAGR_10Y,Has_ETF_CAGR_10Y,Has_Mcap_USD_Bn,Has_REER_Upside,Has_differential with USA,Has_Average Rank,Has_Rank,Ranked
Argentina,Latin America,642.46426,556.774027,643.861436,524.431466,446.762267,385.218414,486.03955,633.520291,648.894711,637.234361,681.485276,0.06944213574823221,0.024625867655276412,0.12085617206991217,0.005913763348686096,ARGT,91.41000366210938,81.9755630493164,0.11508845150739888,32.6408576965332,0.40953994569929675,28.11760711669922,0.2659107084266983,16.149154663085938,0.1892807607022602,0.0352194090351452,141.34,121.01173553719008,-0.1679858930422704,,,7.33,105.3,,,,10.0,,,False,True,True,True,True,False,False,False,False
Australia,Oceania,1238.86253,1267.659506,1386.366556,1422.597359,1391.987377,1366.669129,1660.123402,1731.233002,1748.174806,1799.41781,1839.960586,0.022531051862824558,0.020510942665878718,0.06127767155760999,0.04034776914288951,EWA,26.190000534057617,23.105175018310547,0.13351231978560585,19.981700897216797,0.094378832927275,19.498106002807617,0.060788043551405435,12.550904273986816,0.07633149615712198,0.266326121159544,114.61,106.15991735537189,-0.07959767542340236,9201580000.0,0.1848226409030651,7.33,1970.0,1.467666667,20.0,17.0,10.0,0.6746026392961877,0.0003666397228446869,False,True,True,True,True,True,True,True,True
Austria,Europe,379.584481,393.578835,414.779714,452.787391,443.032565,434.04992,480.785784,473.593598,516.819611,534.629641,579.928404,0.08472923969436263,0.06984990499990196,0.059660973667643,0.04329372000304543,EWO,35.470001220703125,20.36223602294922,0.741950205307842,16.22183609008789,0.29793735437765956,15.804433822631836,0.17548326942953651,11.046189308166504,0.1237374956163908,0.9685185178145896,104.44,100.54165289256198,-0.0387734535417252,7668800000.0,0.15403527095970757,7.33,224.5,-0.205,13.0,36.0,10.0,0.5622287390029326,0.0009694795687278194,False,True,True,True,True,True,True,True,True
Belgium,Europe,461.091447,474.140584,500.732908,542.885222,536.786811,529.269462,598.920083,591.550687,651.518132,671.168157,724.917042,0.08008259098621084,0.07011909976927733,0.06493302330670114,0.046285301629831244,EWK,24.299999237060547,17.955211639404297,0.3533674637246855,16.67976188659668,0.133632107529164,17.182037353515625,0.07178165744723741,14.044761657714844,0.056353288507108745,0.4770923447639943,103.14,100.07487603305783,-0.03062830640859012,,,7.33,870.0,0.0,23.0,34.0,10.0,,,False,True,True,True,True,True,True,True,True
Brazil,Latin America,1800.045633,1796.621874,2063.518641,1916.933898,1873.286306,1476.091674,1670.65029,1951.849476,2191.137482,2185.822364,2279.917849,0.04304809327131576,0.05315176206764516,0.09084029865412857,0.02391420557892543,EWZ,31.770000457763672,21.349925994873047,0.48806138557074585,23.133569717407227,0.11153938569979327,24.959598541259766,0.04943591990819063,12.385372161865234,0.09878017765172808,0.775333364680288,115.57,117.45669421487604,0.016062892179006107,,,7.33,1100.0,10.47833333,6.0,4.0,10.0,,,False,True,True,True,True,True,True,True,True
Canada,North America,1556.508034,1527.996251,1649.265644,1725.300254,1743.725184,1655.685476,2022.381939,2200.567395,2196.593836,2270.07619,2319.899772,0.02194797787822278,0.017758760791642292,0.06978936612817876,0.040714931439780555,EWC,53.93000030517578,39.67778015136719,0.359199030274316,30.775203704833984,0.20561829262833076,27.8441162109375,0.14135145557002948,17.425792694091797,0.11960231545100775,0.4667604681148694,98.07,101.51785123966943,0.033963004511684734,23932400000.0,0.480705419194151,7.33,4500.0,0.05833333333,35.0,32.0,10.0,1.7545747800586513,0.0007563149068918703,False,True,True,True,True,True,True,True,True
Chile,Latin America,242.515163,249.305544,276.357324,295.428435,278.040131,254.060118,315.411194,301.269992,335.626536,330.209569,355.34553,0.0761212374193796,0.0565701256609592,0.06940662994370883,0.038941743097283155,ECH,40.400001525878906,24.42421531677246,0.6540961910917826,24.531217575073242,0.18092076460058326,24.447080612182617,0.10568361883930577,23.332761764526367,0.05643194084808001,0.6907512737376953,103.28,105.78685950413224,0.023697267466705675,8895070000.0,0.178666090868919,7.33,305.0,2.103333333,13.0,12.0,10.0,0.6521312316715542,0.0018352031378347554,False,True,True,True,True,True,True,True,True
China,East Asia,11305.639738,11451.999809,12516.151548,14107.926567,14593.449877,15110.191186,18183.504643,18337.776646,18366.93624,18945.112489,19626.24704,0.035953048650172015,0.022892970634310617,0.05369146039097483,0.05670609372844204,MCHI,60.06999969482422,45.841121673583984,0.31039550302800833,43.892662048339844,0.11025286578847848,72.61736297607422,-0.03722804471139762,37.14423751831055,0.04924429904592276,0.2929985030795077,91.32,97.38272727272728,0.06225670036687498,553232000000.0,11.112200216928454,7.33,17100.0,-1.768666667,17.0,31.0,10.0,40.55953079178886,0.0020665963650169598,False,True,True,True,True,True,True,True,True
Colombia,Latin America,293.492549,282.719965,311.889709,334.124435,323.055028,270.348343,318.5249,345.632493,366.901413,420.504033,457.410281,0.08776669212111932,0.09790253029534557,0.11090377343048341,0.04537204984624288,GXG,35.63999938964844,21.103212356567383,0.6888423803666632,16.137229919433594,0.3022755906461869,23.17292594909668,0.08991182082503846,18.7047176361084,0.06659281344240386,0.7129602910200252,123.79,106.34297520661157,-0.164063726442588,736290000.0,0.014789097336600651,7.33,144.08,9.749666667,7.0,30.0,10.0,0.053980205278592375,0.00011801266285615555,False,True,True,True,True,True,True,True,True
Denmark,Europe,301.758935,312.18196,331.61053,355.29334,345.40152,355.630674,406.11008,400.114646,404.651865,424.52475,461.718327,0.08761226995599203,0.04889227814340402,0.05359955882305556,0.043450130013975574,EDEN,114.47000122070312,103.50947570800781,0.10588910278720864,91.32994079589844,0.07818388679101718,89.86344909667969,0.049594921763497446,47.35369110107422,0.09227950556034381,0.08170125294100083,95.58,98.58611570247932,0.030492282620723236,4436890000.0,0.08911923030570844,7.33,650.0,-0.5796666667,31.0,25.0,10.0,0.3252851906158358,0.0007045100261221292,False,True,True,True,True,True,True,True,True
