Rank,Country,ETF_Ticker,Factsheet_URL,Downloaded_File
1,Indonesia,EIDO,https://www.ishares.com/us/literature/fact-sheet/eido-ishares-msci-indonesia-etf-fund-fact-sheet-en-us.pdf,01_Indonesia_EIDO_factsheet.pdf
2,Brazil,EWZ,https://www.ishares.com/us/literature/fact-sheet/ewz-ishares-msci-brazil-etf-fund-fact-sheet-en-us.pdf,02_Brazil_EWZ_factsheet.pdf
3,India,INDA,https://www.ishares.com/us/literature/fact-sheet/inda-ishares-msci-india-etf-fund-fact-sheet-en-us.pdf,03_India_INDA_factsheet.pdf
4,Hong Kong,EWH,https://www.ishares.com/us/literature/fact-sheet/ewh-ishares-msci-hong-kong-etf-fund-fact-sheet-en-us.pdf,04_Hong_Kong_EWH_factsheet.pdf
5,Chile,ECH,https://www.ishares.com/us/literature/fact-sheet/ech-ishares-msci-chile-etf-fund-fact-sheet-en-us.pdf,05_Chile_ECH_factsheet.pdf
6,Philippines,EPHE,https://www.ishares.com/us/literature/fact-sheet/ephe-ishares-msci-philippines-etf-fund-fact-sheet-en-us.pdf,06_Philippines_EPHE_factsheet.pdf
7,United Kingdom,EWU,https://www.ishares.com/us/literature/fact-sheet/ewu-ishares-msci-united-kingdom-etf-fund-fact-sheet-en-us.pdf,07_United_Kingdom_EWU_factsheet.pdf
8,France,EWQ,https://www.ishares.com/us/literature/fact-sheet/ewq-ishares-msci-france-etf-fund-fact-sheet-en-us.pdf,08_France_EWQ_factsheet.pdf
9,Turkey,TUR,https://www.ishares.com/us/literature/fact-sheet/tur-ishares-msci-turkey-etf-fund-fact-sheet-en-us.pdf,09_Turkey_TUR_factsheet.pdf
10,Poland,EPOL,https://www.ishares.com/us/literature/fact-sheet/epol-ishares-msci-poland-etf-fund-fact-sheet-en-us.pdf,10_Poland_EPOL_factsheet.pdf
11,Malaysia,EWM,https://www.ishares.com/us/literature/fact-sheet/ewm-ishares-msci-malaysia-etf-fund-fact-sheet-en-us.pdf,11_Malaysia_EWM_factsheet.pdf
12,Japan,EWJ,https://www.ishares.com/us/literature/fact-sheet/ewj-ishares-msci-japan-etf-fund-fact-sheet-en-us.pdf,12_Japan_EWJ_factsheet.pdf
13,South Korea,EWY,https://www.ishares.com/us/literature/fact-sheet/ewy-ishares-msci-south-korea-etf-fund-fact-sheet-en-us.pdf,13_South_Korea_EWY_factsheet.pdf
14,Singapore,EWS,https://www.ishares.com/us/literature/fact-sheet/ews-ishares-msci-singapore-etf-fund-fact-sheet-en-us.pdf,14_Singapore_EWS_factsheet.pdf
15,China,MCHI,https://www.ishares.com/us/literature/fact-sheet/mchi-ishares-msci-china-etf-fund-fact-sheet-en-us.pdf,15_China_MCHI_factsheet.pdf
16,Mexico,EWW,https://www.ishares.com/us/literature/fact-sheet/eww-ishares-msci-mexico-etf-fund-fact-sheet-en-us.pdf,16_Mexico_EWW_factsheet.pdf
