Country,World Govt Bonds (%),Trading Economics (%),Investing.com (%),10Y bond yield,differential with USA,Rank
Turkey,34.085,31.8,34.33,33.4,29.9,1
Brazil,13.89,14.033,14.092,14.0,10.5,2
Colombia,13.141,13.344,13.344,13.3,9.7,3
Mexico,9.21,9.219,9.231,9.2,5.7,4
South Africa,8.795,8.85,8.84,8.8,5.3,5
Philippines,6.9,7.153,7.153,7.1,3.5,6
India,7.018,7.04,7.017,7.0,3.5,7
Indonesia,6.829,6.822,6.822,6.8,3.3,8
Peru,6.077,5.889,5.889,6.0,2.4,9
Poland,5.779,5.832,5.832,5.8,2.3,10
Chile,5.61,5.67,5.61,5.6,2.1,11
United Kingdom,4.972,5.072,5.09,5.0,1.5,12
Australia,5.025,4.973,4.985,5.0,1.5,13
New Zealand,4.718,4.674,4.667,4.7,1.2,14
Norway,4.402,4.445,4.445,4.4,0.9,15
United States,4.378,4.429,4.432,4.4,0.9,16
South Korea,3.844,3.95,3.911,3.9,0.4,17
Italy,3.86,3.873,3.91,3.9,0.4,18
Greece,3.828,3.84,3.843,3.8,0.3,19
France,3.703,3.712,3.736,3.7,0.2,20
Canada,3.528,3.614,3.613,3.6,0.1,21
Malaysia,3.573,3.585,3.585,3.6,0.1,22
Belgium,3.52,3.53,3.53,3.5,0.0,23
Spain,3.5,3.512,3.542,3.5,0.0,24
Finland,3.396,3.42,3.42,3.4,-0.1,25
Austria,3.315,3.325,3.325,3.3,-0.2,26
Ireland,3.278,3.292,3.292,3.3,-0.2,27
Netherlands,3.106,3.116,3.14,3.1,-0.4,28
Germany,3.044,3.066,3.08,3.1,-0.5,29
Hong Kong,3.003,3.014,3.014,3.0,-0.5,30
Denmark,2.961,2.94,2.94,2.9,-0.6,31
Sweden,2.917,2.81,2.81,2.8,-0.7,32
Japan,2.506,2.506,2.506,2.5,-1.0,33
Thailand,2.199,2.243,2.243,2.2,-1.3,34
Singapore,2.109,2.089,2.089,2.1,-1.4,35
China,1.753,1.768,1.753,1.8,-1.8,36
Taiwan,1.53,1.51,1.51,1.5,-2.0,37
Switzerland,0.391,0.403,0.406,0.4,-3.1,38
