Country,10Y bond yield
Turkey,33.4
Brazil,14.0
Colombia,13.3
Mexico,9.2
South Africa,8.8
Philippines,7.1
India,7.0
Indonesia,6.8
Peru,6.0
Poland,5.8
Chile,5.6
United Kingdom,5.0
Australia,5.0
New Zealand,4.7
Norway,4.4
United States,4.4
South Korea,3.9
Italy,3.9
Greece,3.8
France,3.7
Canada,3.6
Malaysia,3.6
Belgium,3.5
Spain,3.5
Finland,3.4
Austria,3.3
Ireland,3.3
Netherlands,3.1
Germany,3.1
Hong Kong,3.0
Denmark,2.9
Sweden,2.8
Japan,2.5
Thailand,2.2
Singapore,2.1
China,1.8
Taiwan,1.5
Switzerland,0.4
