Country,Average Rank
Indonesia,4.0
Brazil,6.0
Colombia,7.0
Philippines,8.0
Turkey,9.0
Thailand,10.0
Poland,11.0
Hong Kong,12.0
Malaysia,12.0
Czech Republic,12.0
Austria,13.0
Chile,13.0
Hungary,15.0
Singapore,16.0
Germany,16.0
United Kingdom,16.0
Portugal,17.0
China,17.0
Italy,17.0
New Zealand,18.0
Mexico,20.0
Australia,20.0
Norway,22.0
Belgium,23.0
France,23.0
Egypt,23.0
Finland,23.0
Spain,26.0
Greece,28.0
South Africa,28.0
Sweden,29.0
Denmark,31.0
Switzerland,32.0
Japan,33.0
South Korea,33.0
Ireland,35.0
Canada,35.0
Netherlands,37.0
Israel,37.0
Peru,40.0
Taiwan,40.0
India,41.0
United States,42.0
Russia,
