Country,differential with USA,Average Rank,Rank,Mcap_USD_Bn,Crude (kg),Crude (mb/d),GDP_2025,Annual_Impact_USD_Bn,GDP_Impact_Pct
Argentina,,,,105.3,,,526.5,,
Australia,1.467666667,20.0,17.0,1970.0,9201580000.0,0.1848226409030651,9850.0,0.6746026392961877,6.848757759352159e-05
Austria,-0.205,13.0,36.0,224.5,7668800000.0,0.15403527095970757,1122.5,0.5622287390029326,0.0005008719278422562
Belgium,0.0,23.0,34.0,870.0,,,4350.0,,
Brazil,10.47833333,6.0,4.0,1100.0,,,5500.0,,
Bulgaria,,,,4.55,6630030000.0,0.13317057003977023,22.75,0.4860725806451613,0.02136582772066643
Canada,0.05833333333,35.0,32.0,4500.0,23932400000.0,0.480705419194151,22500.0,1.7545747800586513,7.798110133594006e-05
Chile,2.103333333,13.0,12.0,305.0,8895070000.0,0.178666090868919,1525.0,0.6521312316715542,0.00042762703716167486
China,-1.768666667,17.0,31.0,17100.0,553232000000.0,11.112200216928454,85500.0,40.55953079178886,0.0004743804770969457
Colombia,9.749666667,7.0,30.0,144.08,736290000.0,0.014789097336600651,720.4000000000001,0.053980205278592375,7.493087906523094e-05
Croatia,,,,32.76,,,163.79999999999998,,
Czech Republic,,12.0,,42.5,,,212.5,,
Denmark,-0.5796666667,31.0,25.0,650.0,4436890000.0,0.08911923030570844,3250.0,0.3252851906158358,0.0001000877509587187
Egypt,,23.0,,67.77,,,338.84999999999997,,
Estonia,,,,5.74,14.0,2.8120355119913227e-10,28.700000000000003,1.0263929618768329e-09,3.576282097131822e-11
Finland,-0.1146666667,23.0,33.0,390.0,8623710000.0,0.1732155626079621,1950.0,0.6322368035190615,0.00032422400180464694
France,0.1903333333,23.0,5.0,3450.0,,,17250.0,,
Germany,-0.4633333333,16.0,37.0,3036.0,78537000000.0,1.5774916643233037,15180.0,5.757844574780058,0.0003793046491949972
Greece,0.3103333333,28.0,6.0,185.66,,,928.3,,
Hong Kong,-0.5163333333,12.0,15.0,7410.0,,,37050.0,,
Hungary,,15.0,,83.23,5582350000.0,0.11212690314546259,416.15000000000003,0.40926319648093845,0.0009834511509814693
India,3.498333333,41.0,2.0,4970.0,241750000000.0,4.8557827501707305,24850.0,17.723607038123166,0.0007132236232645137
Indonesia,3.297666667,4.0,20.0,940.0,,,4700.0,,
Ireland,-0.2393333333,35.0,18.0,298.0,,,1490.0,,
Israel,,37.0,,565.0,11504600000.0,0.23108102679468123,2825.0,0.8434457478005865,0.0002985648664780837
Italy,0.3543333333,17.0,21.0,950.0,54544900000.0,1.095587112842968,4750.0,3.998892961876833,0.0008418722025003858
Japan,-1.020666667,33.0,1.0,8260.0,114959000000.0,2.309062788735789,41300.0,8.42807917888563,0.00020406971377447046
Latvia,,,,0.496,1667.0,3.3483308560639536e-08,2.48,1.222140762463343e-07,4.927986945416706e-08
Lithuania,,,,6.93,8804710000.0,0.176851122805608,34.65,0.6455065982404692,0.018629339054558994
Luxembourg,,,,41.86,2221.8,4.4627003575302294e-08,209.3,1.6288856304985337e-07,7.782540040604556e-10
Malaysia,0.05433333333,12.0,11.0,508.0,22122700000.0,0.44435584300807457,2540.0,1.621898826979472,0.0006385428452675087
Mexico,5.693333333,20.0,16.0,611.0,,,3055.0,,
Netherlands,-0.406,37.0,26.0,2120.0,79217900000.0,1.591168199895553,10600.0,5.807763929618767,0.0005479022575112045
New Zealand,1.159666667,18.0,38.0,100.5,24000.0,4.820632306270839e-07,502.5,1.7595307917888564e-06,3.501553814505187e-09
Norway,0.904,22.0,23.0,515.0,1138180000.0,0.022861446993130596,2575.0,0.08344428152492667,3.240554622327249e-05
Pakistan,,,,67.74,9748250000.0,0.19580303699835294,338.7,0.7146810850439882,0.0021100711102568295
Peru,2.425,40.0,28.0,84.8,,,424.0,,
Philippines,3.542,8.0,22.0,345.0,6483420000.0,0.13022576627967702,1725.0,0.47532404692082114,0.00027555017212801226
Poland,2.287666667,11.0,8.0,292.0,24977100000.0,0.5016892299039891,1460.0,1.8311656891495602,0.0012542230747599728
Portugal,,17.0,,102.0,10687400000.0,0.21466677379182905,510.0,0.7835337243401761,0.0015363406359611296
Russia,,,,,,,,,
Singapore,-1.431,16.0,9.0,820.0,43505200000.0,0.8738440525448921,4100.0,3.1895307917888562,0.0007779343394606966
Slovakia,,,,2.65,,,13.25,,
South Africa,5.301666667,28.0,19.0,1530.0,8181530000.0,0.16433394930301692,7650.0,0.5998189149560117,7.840770130143944e-05
South Korea,0.375,33.0,10.0,4590.0,137180000000.0,2.7553930823926405,22950.0,10.057184750733137,0.00043822155776614976
Spain,-0.008666666667,26.0,13.0,1360.0,,,6800.0,,
Sweden,-0.681,29.0,29.0,1410.0,17740100000.0,0.3563270799019805,7050.0,1.3005938416422287,0.0001844813959776211
Switzerland,-3.126666667,32.0,35.0,1790.0,2586720000.0,0.05195677499698711,8950.0,0.18964222873900294,2.1189075836760106e-05
Taiwan,-2.01,40.0,14.0,4670.0,45330100000.0,0.910498935443699,23350.0,3.323321114369501,0.00014232638605436834
Thailand,-1.298333333,10.0,24.0,568.0,177762000000.0,3.570521833447154,2840.0,13.032404692082112,0.0045888748915782086
Turkey,29.87833333,9.0,27.0,285.0,,,1425.0,,
United Kingdom,1.518,16.0,3.0,3990.0,,,19950.0,,
United States,0.8863333333,42.0,7.0,73300.0,375657000000.0,7.545434459486603,366500.0,27.540835777126098,7.514552735914351e-05
