Final_Rank,Country,Region,ETF_Ticker,Final_Score,Macro_Gap,Macro_Gap_Rank,Currency_Score,Currency_Rank,REER_Rank,Bond_Rank,Valuation_Rank,Narrative_Rank,Mcap_Rank,YTD_Return,GDP_CAGR_10Y,ETF_CAGR_10Y,REER_Upside,differential with USA,Average Rank,Rank,Mcap_USD_Bn
1,Indonesia,South East Asia,EIDO,9.0,0.04084117074832827,2,6.0,2,4,8,1,20,20,-0.19693440936211193,0.05320552509562604,0.012364354347297768,0.06719854716552823,3.297666667,4.0,20.0,940.0
2,Brazil,Latin America,EWZ,10.0,-0.07486597207280266,30,8.0,3,14,2,2,4,18,0.775333364680288,0.02391420557892543,0.09878017765172808,0.016062892179006107,10.47833333,6.0,4.0,1100.0
3,India,South East Asia,INDA,10.5,-0.017075651121716717,11,5.0,1,3,7,35,2,5,-0.11011237640631244,0.0652411264447208,0.08231677756643752,0.08886250340039306,3.498333333,41.0,2.0,4970.0
4,Hong Kong,East Asia,EWH,11.9,-0.009714470712673062,9,19.5,18,11,28,8,15,4,0.5547118905140418,0.03281924819589044,0.0425337189085635,0.025604217801453964,-0.5163333333,12.0,15.0,7410.0
5,Chile,Latin America,ECH,12.0,-0.017490197750796854,12,11.0,5,12,10,10,12,30,0.6907512737376953,0.038941743097283155,0.05643194084808001,0.023697267466705675,2.103333333,13.0,12.0,305.0
6,Philippines,South East Asia,EPHE,12.1,0.06548963805377905,1,12.0,8,18,6,4,22,29,-0.006547801643560169,0.04744661300254327,-0.018043025051235784,-0.014531258975909941,3.542,8.0,22.0,345.0
7,United Kingdom,Europe,EWU,12.200000000000001,-0.04139369671383841,18,20.5,21,30,11,13,3,9,0.43325343770411195,0.031126917607985805,0.07252061432182422,-0.06924937192929946,1.518,16.0,3.0,3990.0
8,France,Europe,EWQ,13.5,-0.060198694717090495,25,12.5,9,7,18,21,5,10,0.30477463034212326,0.032670003455508745,0.09286869817259924,0.03074190094903435,0.1903333333,23.0,5.0,3450.0
9,Turkey,Europe,TUR,14.0,0.03938276533040863,3,11.0,5,21,1,5,27,33,0.20706597029872187,0.06286102686735506,0.023478261536946432,-0.023947613856827574,29.87833333,9.0,27.0,285.0
10,Poland,Europe,EPOL,14.400000000000002,-0.018103632271383674,13,22.0,24,35,9,7,8,32,0.9545735854479673,0.07998832069122552,0.0980919529626092,-0.20674796414321367,2.287666667,11.0,8.0,292.0
11,Malaysia,South East Asia,EWM,15.0,0.017946612192712097,4,26.5,33,33,20,8,11,27,0.28631466755867274,0.04593355415480449,0.027986941962092393,-0.08714692448258905,0.05433333333,12.0,11.0,508.0
12,Japan,East Asia,EWJ,15.200000000000003,-0.07595500906232933,31,16.0,13,1,31,29,1,3,0.4367654675847814,-0.002211224475455298,0.07374378458687403,0.2444352855824144,-1.020666667,33.0,1.0,8260.0
13,South Korea,East Asia,EWY,15.7,-0.07005839783677992,27,8.5,4,2,15,29,10,7,2.570210826353424,0.019786898835056466,0.08984529667183638,0.14145336839302347,0.375,33.0,10.0,4590.0
14,Singapore,South East Asia,EWS,16.3,-0.0043998071599327115,8,32.0,36,31,33,13,9,22,0.39009141711161455,0.0696444552269242,0.07404426238685691,-0.07745200681766483,-1.431,16.0,9.0,820.0
15,China,East Asia,MCHI,17.0,0.007461794682519285,6,19.5,18,5,34,15,30,2,0.2929985030795077,0.05670609372844204,0.04924429904592276,0.06225670036687498,-1.768666667,17.0,31.0,17100.0
16,Mexico,Latin America,EWW,17.4,-0.01870048521629597,14,20.0,20,36,4,17,16,24,0.7392506463227513,0.04210414908499471,0.06080463430129068,-0.21831080797207997,5.693333333,20.0,16.0,611.0
17,Australia,Oceania,EWA,18.000000000000004,-0.03598372701423247,17,22.0,24,32,12,17,17,13,0.266326121159544,0.04034776914288951,0.07633149615712198,-0.07959767542340236,1.467666667,20.0,17.0,1970.0
18,Thailand,South East Asia,THD,18.7,0.0072090363015369086,7,26.0,32,20,32,6,24,25,0.22398047296631018,0.03698347378827327,0.02977443748673636,-0.021330034456013076,-1.298333333,10.0,24.0,568.0
19,Norway,Europe,ENOR,19.1,-0.050969545621345036,22,11.5,7,10,13,19,23,26,0.676228066220931,0.02851574006187696,0.079485285683222,0.025749820890783284,0.904,22.0,23.0,515.0
20,Colombia,Latin America,GXG,19.1,-0.021220763596160985,15,18.5,16,34,3,3,29,36,0.7129602910200252,0.04537204984624288,0.06659281344240386,-0.164063726442588,9.749666667,7.0,30.0,144.08
21,Italy,Europe,EWI,19.599999999999998,-0.07441815798479623,29,16.0,13,16,16,15,21,19,0.7069442241133452,0.03286078022400196,0.10727893820879819,0.010529438793556629,0.3543333333,17.0,21.0,950.0
22,South Africa,Africa,EZA,19.8,-0.07091885972309808,28,14.0,11,23,5,24,19,15,0.7827800100756366,0.02109537309761067,0.09201423282070875,-0.0275728687079603,5.301666667,28.0,19.0,1530.0
23,Spain,Europe,EWP,20.2,-0.055452182308824094,23,23.0,27,24,22,23,13,17,0.8689085639713106,0.046689030942567156,0.10214121325139125,-0.029089263001478644,-0.008666666667,26.0,13.0,1360.0
24,Greece,Europe,GREK,20.3,-0.10011124776376379,36,18.0,15,19,17,24,6,35,0.9177841751463891,0.0372375395741531,0.1373487873379169,-0.01772527667283699,0.3103333333,28.0,6.0,185.66
25,United States,North America,IVV,20.600000000000005,-0.09388973474400397,34,21.5,22,29,14,36,7,1,0.2820432522192875,0.05335650027633587,0.14724623502033984,-0.052657876047574,0.8863333333,42.0,7.0,73300.0
26,Ireland,Europe,EIRL,21.5,0.015540491129706124,5,23.5,29,22,25,31,18,31,0.30185393202339195,0.09043820405320657,0.07489771292350045,-0.02617597810389477,-0.2393333333,35.0,18.0,298.0
27,Denmark,Europe,EDEN,22.2,-0.04882937554636824,19,18.5,16,8,29,27,25,23,0.08170125294100083,0.043450130013975574,0.09227950556034381,0.030492282620723236,-0.5796666667,31.0,25.0,650.0
28,Germany,Europe,EWG,22.5,-0.035858586637171896,16,22.0,24,17,27,13,36,11,0.3501405854189048,0.03953885757202458,0.07539744420919647,-0.010857963670460422,-0.4633333333,16.0,37.0,3036.0
29,Finland,Europe,EFNL,23.2,-0.04902812764496711,20,16.0,13,9,23,21,32,28,0.7327439897760146,0.031115795433569682,0.0801439230785368,0.03014821786063487,-0.1146666667,23.0,33.0,390.0
30,Belgium,Europe,EWK,23.6,-0.010067986877277502,10,23.0,27,25,21,21,33,21,0.4770923447639943,0.046285301629831244,0.056353288507108745,-0.03062830640859012,0.0,23.0,34.0,870.0
31,Canada,North America,EWC,24.500000000000004,-0.07888738401122719,32,12.5,9,6,19,31,31,8,0.4667604681148694,0.040714931439780555,0.11960231545100775,0.033963004511684734,0.05833333333,35.0,32.0,4500.0
32,Taiwan,East Asia,EWT,24.6,-0.09729673305566511,35,24.0,30,13,35,34,14,6,0.9103628138144739,0.055808456170407306,0.1531051892260724,0.02067485453569949,-2.01,40.0,14.0,4670.0
33,Sweden,Europe,EWD,25.6,-0.06024564329482551,26,22.5,26,15,30,26,28,16,0.4027250172632404,0.029216093783691388,0.0894617370785169,0.010936863341383178,-0.681,29.0,29.0,1410.0
34,Netherlands,Europe,EWN,27.200000000000003,-0.06003308676017505,24,27.0,34,28,26,33,26,12,0.5176125396783491,0.05555782862087244,0.11559091538104749,-0.05145551489323821,-0.406,37.0,26.0,2120.0
35,Switzerland,Europe,EWL,28.4,-0.05073148402091254,21,31.5,35,27,36,28,34,14,0.3662043766043772,0.03987037764177237,0.09060186166268491,-0.051324420200127216,-3.126666667,32.0,35.0,1790.0
36,Austria,Europe,EWO,28.700000000000003,-0.08044377561334537,33,25.0,31,26,24,10,35,34,0.9685185178145896,0.04329372000304543,0.1237374956163908,-0.0387734535417252,-0.205,13.0,36.0,224.5
