Country,Mcap_USD_Bn
United States,73300.0
China,17100.0
Japan,8260.0
Hong Kong,7410.0
India,4970.0
Taiwan,4670.0
South Korea,4590.0
Canada,4500.0
United Kingdom,3990.0
France,3450.0
Germany,3036.0
Netherlands,2120.0
Australia,1970.0
Switzerland,1790.0
South Africa,1530.0
Sweden,1410.0
Spain,1360.0
Brazil,1100.0
Italy,950.0
Indonesia,940.0
Belgium,870.0
Singapore,820.0
Denmark,650.0
Mexico,611.0
Thailand,568.0
Israel,565.0
Norway,515.0
Malaysia,508.0
Finland,390.0
Philippines,345.0
Chile,305.0
Turkey,285.0
Ireland,298.0
Poland,292.0
Austria,224.5
Greece,185.66
Colombia,144.08
Argentina,105.3
Portugal,102.0
New Zealand,100.5
Peru,84.8
Hungary,83.23
Egypt,67.77
Pakistan,67.74
Czech Republic,42.5
Luxembourg,41.86
Croatia,32.76
Lithuania,6.93
Estonia,5.74
Bulgaria,4.55
Slovakia,2.65
Latvia,0.496
